id,product_name,serving_size,servings,total_fat,cholesterol,sodium,total_carb,dietary_fiber,sugars,url,price,price_deal,protein,catagory
1,"100% Grass-Fed Local 85% Lean Ground Beef, Frozen",Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_hrdwck_grnd&catId=bground_plf,$8.99/ea 2 for $14.00,2 for $14.00,Serv. Size 4 oz raw (113g),Meat
2,Slow-Cooked Tomato Sauce,Serv. Size 1/2  cup  (113.4g),Serv. Size 1/2  cup  (113.4g),Serv. Size 1/2  cup  (113.4g),Serv. Size 1/2  cup  (113.4g),Serv. Size 1/2  cup  (113.4g),Serv. Size 1/2 cup (113.4g),Serv.Size 1/2cup(113.4g),Serv. Size 1/2 cup (113.4g),https://www.freshdirect.com/pdp.jsp?productId=hmrsauc_tmtob&catId=meals_sauces_snp,$4.29/ea $4.99 2 for $8.00,2 for $8.00,Serv. Size 1/2 cup (113.4g),Meals
3,100% Grass-Fed Local Beef Eye Round Steak,Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330022&catId=bbrais_gf,$9.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
4,100% Grass-Fed Local Beef Sandwich Steak,Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4 oz raw 1/4 (113g),Serv.Size 4ozraw1/4(113g),Serv. Size 4 oz raw 1/4 (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330017&catId=bbrais_gf,$9.99/lb,nil,Serv. Size 4 oz raw 1/4 (113g),Meat
5,100% Grass-Fed Local Beef Short Ribs,Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_shrbs_lcl&catId=mt_b_spe_grssfd_spec,$9.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
6,100% Grass-Fed Local Beef Stew Meat,Serv. Size 4  oz raw 1/8  trim (113g),Serv. Size 4  oz raw 1/8  trim (113g),Serv. Size 4  oz raw 1/8  trim (113g),Serv. Size 4  oz raw 1/8  trim (113g),Serv. Size 4  oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_stewmt_grsfed&catId=mt_b_spe_grssfd_cube,$8.99/lb $10.99 $8.00/lb for 2lb or more,$8.00/lb for 2lb or more,Serv. Size 4 oz raw 1/8  trim (113g),Meat
7,100% Grass-Fed Local Beef Stir-Fry Strips,Serv. Size 4  oz raw 1/8 (113g),Serv. Size 4  oz raw 1/8 (113g),Serv. Size 4  oz raw 1/8 (113g),Serv. Size 4  oz raw 1/8 (113g),Serv. Size 4  oz raw 1/8 (113g),Serv. Size 4 oz raw 1/8 (113g),Serv.Size 4ozraw1/8(113g),Serv. Size 4 oz raw 1/8 (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330016&catId=mt_b_spe_grssfd_cube,$9.99/lb,nil,Serv. Size 4 oz raw 1/8 (113g),Meat
8,100% Grass-Fed Local Beef Top Sirloin Steak,Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4  oz raw 1/4 (113g),Serv. Size 4 oz raw 1/4 (113g),Serv.Size 4ozraw1/4(113g),Serv. Size 4 oz raw 1/4 (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330020&catId=bbrais_gf,$8.99/lb $11.99,nil,Serv. Size 4 oz raw 1/4 (113g),Meat
9,"100% Grass-Fed Local Boneless Lamb Stew Meat, Raised without Antibiotics",Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4  oz raw  (113g),Serv. Size 4 oz raw (113g),Serv.Size 4ozraw(113g),Serv. Size 4 oz raw (113g),https://www.freshdirect.com/pdp.jsp?productId=mea_pid_3330048&catId=mt_l_grssfd_kbs_grnd,$11.99/lb,nil,Serv. Size 4 oz raw (113g),Meat
10,100% Grass-Fed Local Boneless Sirloin Steak,Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv. Size 4 oz raw 1/8  trim (113g),Serv.Size 4ozraw1/8trim(113g),Serv. Size 4 oz raw 1/8  trim (113g),https://www.freshdirect.com/pdp.jsp?productId=mbf_blssril_lcl&catId=bfry_gf,$14.99/lb,nil,Serv. Size 4 oz raw 1/8  trim (113g),Meat
